train_loss,train_loss_aux,epoch_time,val_loss,acc_top1,acc_top5
3.6473939418792725,2.6227355003356934,5.4,2.5119848251342773,0.222,0.578
3.308242082595825,2.3962020874023438,6.2,2.297287702560425,0.299,0.655
3.0759079456329346,2.248555898666382,6.4,2.1816532611846924,0.342,0.695
2.868323564529419,2.1266136169433594,6.3,2.166268825531006,0.357,0.728
2.718640089035034,2.032256841659546,6.0,1.9502488374710083,0.427,0.773
2.5931105613708496,1.9650224447250366,6.2,1.942553162574768,0.408,0.773
2.483572483062744,1.904770851135254,6.0,1.8826923370361328,0.426,0.789
2.3500473499298096,1.84226655960083,5.0,1.8387701511383057,0.453,0.8
2.2404680252075195,1.786723256111145,6.0,1.7929189205169678,0.455,0.83
2.135836601257324,1.7417329549789429,5.7,1.8000487089157104,0.46,0.826
2.023099660873413,1.6957390308380127,6.3,1.8029332160949707,0.473,0.821
1.883596420288086,1.6413278579711914,5.7,1.8803704977035522,0.474,0.812
1.773893117904663,1.5961066484451294,5.9,1.9312843084335327,0.488,0.795
1.6736042499542236,1.56697416305542,6.0,2.0254454612731934,0.466,0.793
1.5664159059524536,1.5214028358459473,5.7,2.0068411827087402,0.477,0.802
1.4477128982543945,1.475706934928894,5.8,2.0939834117889404,0.476,0.802
1.3244394063949585,1.4337023496627808,6.2,2.2586569786071777,0.464,0.791
1.2699246406555176,1.4039965867996216,6.3,2.228391408920288,0.462,0.804
1.1415940523147583,1.3531522750854492,4.2,2.242706060409546,0.447,0.811
1.0683103799819946,1.3095438480377197,5.9,2.2202324867248535,0.485,0.819
